age,workclass
52, Self-emp-inc
20, Private
28, Private
50, State-gov
34, Private
28, Private
41, Private
28, Private
46, Self-emp-not-inc
28, ?
32, Private
41, Local-gov
24, Private
33, Private
46, Private
31, State-gov
35, Private
52, Private
30, Private
34, Local-gov
34, State-gov
20, Private
17, Private
32, State-gov
29, Private
33, Private
25, Private
36, Federal-gov
23, Private
63, Self-emp-inc
47, Local-gov
80, ?
17, ?
40, Self-emp-not-inc
30, Private
27, Private
33, Private
34, Local-gov
34, Local-gov
23, Private
42, Local-gov
29, Private
45, Private
24, Federal-gov
44, Private
27, Private
20, Private
44, Private
51, Private
20, Private
17, ?
19, Private
45, Self-emp-inc
60, Private
42, Private
44, Self-emp-not-inc
40, Private
30, Private
38, Private
23, Private
32, ?
44, Private
54, Local-gov
32, Private
50, Private
24, Private
37, Private
52, Private
38, Private
49, Private
30, Private
60, Private
22, ?
35, Private
30, Private
67, Private
46, Private
17, Private
22, Private
27, Private
23, Private
33, Private
43, Self-emp-not-inc
28, State-gov
41, Private
52, ?
25, Private
63, ?
59, Local-gov
45, Local-gov
38, Private
40, Private
46, Federal-gov
35, Private
34, Private
33, Private
41, Private
20, Private
23, Private
26, Private
72, ?
23, Local-gov
62, Local-gov
52, Private
58, Private
25, Private
24, Private
19, Private
43, Private
47, Local-gov
39, Private
49, Private
53, ?
32, Private
34, Private
28, Private
57, ?
25, Private
20, ?
21, ?
34, Private
38, Self-emp-inc
50, Private
24, Local-gov
37, Local-gov
44, Private
28, Private
42, Private
74, Private
38, Self-emp-not-inc
44, Self-emp-not-inc
44, Private
26, Private
36, Private
41, Private
67, Private
39, Local-gov
57, Private
29, Private
31, Self-emp-inc
34, ?
44, Private
29, Private
30, Private
27, Private
27, Private
32, Private
58, Private
35, Local-gov
21, Private
28, Private
46, Self-emp-not-inc
36, Self-emp-not-inc
72, Private
35, Private
33, Federal-gov
69, Private
35, Private
31, Private
34, Private
30, Private
28, Private
54, Private
47, Private
24, Private
52, Self-emp-not-inc
20, Private
43, Self-emp-inc
45, Private
29, Self-emp-not-inc
47, Private
24, Private
51, Private
17, Private
37, Private
27, Private
29, Private
18, ?
36, Self-emp-not-inc
58, Local-gov
26, Self-emp-not-inc
65, ?
57, Private
59, Private
27, Private
31, Self-emp-not-inc
21, Private
29, Private
18, Private
52, Private
57, Self-emp-inc
42, ?
55, ?
60, Private
31, Private
23, Private
27, Private
23, ?
42, Self-emp-not-inc
25, Private
49, Private
32, Private
19, Private
60, Private
42, Local-gov
35, Self-emp-not-inc
48, Private
51, Private
29, Private
36, Local-gov
17, Private
52, Private
24, Private
24, Private
26, Local-gov
27, Private
39, Private
30, Private
50, Self-emp-not-inc
52, Self-emp-inc
46, Private
23, Private
45, Private
65, Private
29, Private
47, Private
30, Private
34, Private
38, Self-emp-not-inc
33, Private
49, Private
47, Self-emp-not-inc
49, Local-gov
43, Private
30, Private
58, Self-emp-not-inc
19, Private
21, Private
33, Private
47, Self-emp-inc
52, Self-emp-not-inc
26, Private
60, Private
21, Private
36, Private
31, Private
50, Self-emp-inc
31, Local-gov
71, Private
58, ?
30, State-gov
20, Private
24, Private
35, Private
38, State-gov
27, Private
29, State-gov
70, ?
34, Private
44, Private
43, Private
44, Self-emp-not-inc
35, Private
27, Private
43, Local-gov
20, Private
42, Private
27, State-gov
42, Private
20, ?
24, Private
48, Federal-gov
17, ?
17, Self-emp-not-inc
33, Private
50, Self-emp-inc
22, Private
17, Private
32, Private
31, Private
58, Self-emp-not-inc
29, Local-gov
37, Private
34, Self-emp-not-inc
23, Local-gov
18, State-gov
34, Private
66, ?
45, Local-gov
41, Private
26, Private
54, Local-gov
24, Private
42, Private
20, Private
23, State-gov
25, ?
35, Private
31, Private
30, Private
19, Private
36, Local-gov
31, Private
21, Private
31, Self-emp-not-inc
46, Private
44, Private
40, Private
45, Private
60, Private
18, Private
28, Private
36, Private
36, Private
40, Private
36, Local-gov
31, Private
33, Private
19, State-gov
22, Private
34, Private
33, Private
41, Private
29, Private
50, Local-gov
42, Private
43, Private
44, Private
20, Private
31, Private
65, Self-emp-not-inc
23, Private
55, Private
26, Private
25, Private
45, ?
35, Private
36, Private
43, State-gov
56, Private
42, Private
19, Private
55, Self-emp-not-inc
42, Private
26, Private
17, Private
42, Local-gov
55, Private
32, Private
29, Private
46, State-gov
29, State-gov
22, Private
58, Self-emp-not-inc
23, Private
39, Private
27, Private
54, Private
33, Local-gov
46, Federal-gov
37, Private
36, Private
59, Local-gov
34, Local-gov
53, Self-emp-inc
51, Private
32, Private
31, State-gov
22, Private
47, Self-emp-not-inc
32, Private
26, Private
37, Private
31, Private
37, Private
55, Private
23, Local-gov
36, Private
34, Private
43, Private
54, Private
43, State-gov
28, Private
40, Private
41, Self-emp-not-inc
40, Private
42, Private
61, Self-emp-not-inc
18, Private
59, ?
21, ?
48, Private
41, Self-emp-inc
18, ?
23, Private
60, Private
22, Private
61, Private
25, Private
46, Private
43, Private
43, Private
24, Private
68, Self-emp-not-inc
31, Private
17, Private
32, Private
50, ?
33, Private
64, Private
20, Private
30, Private
22, ?
43, Private
22, Private
17, Private
47, Self-emp-not-inc
41, Private
56, Private
64, Private
47, Private
48, Private
31, Private
29, Private
30, Private
32, Private
57, Private
62, Private
39, Private
43, Private
24, Self-emp-inc
42, ?
53, Private
26, Private
73, Self-emp-not-inc
72, ?
55, Private
25, Private
41, Private
24, Private
63, Private
17, Private
35, Private
51, Private
62, Local-gov
55, Private
43, Private
40, Local-gov
37, Private
39, Private
31, Private
61, Private
26, Private
46, Self-emp-not-inc
26, Private
48, State-gov
34, Private
34, Local-gov
59, Private
34, Private
49, Private
18, Private
43, Private
48, Private
28, Self-emp-inc
33, Private
24, Private
21, Private
17, Private
39, Private
29, Self-emp-not-inc
44, Private
24, Private
71, Self-emp-not-inc
51, Self-emp-not-inc
55, Private
41, Private
23, Private
38, Private
39, Private
19, Private
49, Private
32, Private
27, Private
38, Private
33, Private
63, ?
23, Private
33, Self-emp-inc
54, Self-emp-not-inc
29, Private
48, ?
35, Self-emp-not-inc
28, Private
37, Private
42, Self-emp-not-inc
40, Private
47, Private
22, Private
30, Private
28, Private
63, Local-gov
51, Self-emp-not-inc
22, Private
27, ?
35, Private
46, Private
37, Private
24, Private
37, Self-emp-not-inc
53, Private
27, Private
38, Private
53, Self-emp-not-inc
34, Private
23, Private
39, Private
43, Private
67, Self-emp-inc
81, Self-emp-not-inc
21, Private
23, Private
25, Private
42, Private
38, Private
64, ?
32, Private
37, Private
51, Private
22, Private
33, Private
42, Private
19, ?
51, Local-gov
23, Private
37, Private
37, Private
47, Private
41, Private
33, Private
31, Private
31, Private
35, Private
38, Self-emp-inc
18, Private
20, Private
54, Local-gov
40, Private
36, Self-emp-inc
43, Private
44, Self-emp-not-inc
44, State-gov
43, Private
51, Private
18, Private
51, Private
41, Private
44, Self-emp-inc
33, Local-gov
33, Self-emp-not-inc
42, Private
25, Private
32, Private
32, Private
36, Private
28, Private
20, Private
35, Self-emp-inc
55, Self-emp-not-inc
48, Private
36, ?
34, Private
28, Private
67, Private
37, Private
44, Private
25, Private
21, Private
40, State-gov
78, Private
34, Private
49, Private
22, Private
23, ?
60, Self-emp-not-inc
45, Local-gov
63, Private
41, Private
47, Private
44, Private
51, Private
46, Private
41, Private
50, Self-emp-not-inc
47, Private
35, Private
56, Private
45, Private
48, Federal-gov
40, Private
39, Self-emp-inc
20, Private
50, Private
38, State-gov
23, Local-gov
31, Private
58, Private
66, Private
39, Self-emp-inc
54, Self-emp-not-inc
26, Private
51, Private
34, Private
50, Private
42, Private
38, Private
48, Private
33, Private
51, Private
22, Private
19, ?
41, Private
48, Local-gov
42, Private
34, Private
23, Private
56, Private
30, Private
45, Private
48, Private
48, Self-emp-inc
31, Private
20, State-gov
27, Private
32, Private
76, ?
19, ?
66, Self-emp-inc
37, Private
34, Private
34, ?
90, Private
23, Private
43, Private
44, Private
24, Private
28, Private
64, ?
23, Private
20, Private
36, Private
61, Private
53, Self-emp-not-inc
30, Private
52, Self-emp-not-inc
38, Private
32, Private
30, Self-emp-not-inc
41, Private
49, Local-gov
45, Private
43, Self-emp-not-inc
61, Private
54, Private
34, Private
49, Private
38, Private
35, Private
36, Private
30, Private
36, Private
22, Local-gov
38, Private
37, Private
48, State-gov
17, Private
19, Self-emp-not-inc
27, Private
22, Private
49, Private
43, State-gov
43, Private
19, Local-gov
58, Self-emp-not-inc
41, Local-gov
31, Private
30, Private
32, Private
29, Private
42, Private
38, Private
41, Federal-gov
44, Self-emp-not-inc
31, Private
34, Private
21, Private
22, Self-emp-not-inc
62, Private
19, ?
29, Self-emp-inc
43, Private
68, ?
45, Self-emp-inc
39, Self-emp-inc
41, Private
34, Self-emp-not-inc
34, Local-gov
31, Private
29, Private
41, Private
41, Private
35, Self-emp-inc
33, Private
37, State-gov
69, Private
34, Private
60, Self-emp-inc
36, Private
41, Private
58, Local-gov
53, Private
29, Private
45, Federal-gov
34, State-gov
36, Private
48, Private
20, Private
35, Private
63, Federal-gov
41, Self-emp-not-inc
28, Private
30, Private
34, ?
31, Private
37, Private
42, ?
31, Private
46, Self-emp-not-inc
35, Federal-gov
27, Private
41, Private
19, Private
20, Private
59, Federal-gov
40, Private
56, Self-emp-not-inc
33, Private
30, Self-emp-inc
46, Private
61, Self-emp-inc
50, Self-emp-inc
25, Private
40, Private
24, ?
51, Private
43, State-gov
34, Private
46, Private
28, State-gov
26, Private
20, Private
44, Private
51, Private
33, Private
54, Private
50, Private
33, Private
65, Private
22, ?
88, Self-emp-not-inc
40, Private
51, Private
50, Private
25, Private
20, Private
47, Private
58, ?
22, Private
50, State-gov
47, Private
24, Local-gov
50, ?
40, Private
36, Private
32, Private
44, Private
51, ?
59, Federal-gov
65, Private
24, State-gov
27, Local-gov
51, Private
48, Private
39, Private
28, Private
19, Private
49, Local-gov
51, Local-gov
59, Private
18, Private
50, Private
45, Federal-gov
30, Local-gov
37, Private
44, Private
33, Private
61, Self-emp-inc
61, Local-gov
38, Private
22, ?
36, Private
44, Self-emp-inc
37, Private
31, Private
54, Private
20, Private
63, ?
48, Self-emp-not-inc
33, ?
31, Private
38, Private
45, Self-emp-not-inc
48, Private
53, Private
55, Private
38, Private
29, Private
36, Private
42, Self-emp-not-inc
50, Private
75, Self-emp-not-inc
46, Private
52, Federal-gov
27, Private
43, Private
31, Private
23, Private
34, Private
41, Self-emp-not-inc
31, Private
42, Private
35, Private
55, Private
36, State-gov
65, Self-emp-not-inc
38, Local-gov
62, Private
54, Self-emp-inc
49, Private
34, Private
32, Private
51, Self-emp-inc
48, Self-emp-not-inc
30, Private
52, Federal-gov
28, Self-emp-not-inc
29, Private
38, Private
57, Private
43, Federal-gov
37, State-gov
30, Private
53, Private
69, ?
73, Private
22, Self-emp-inc
31, Private
38, Private
50, Self-emp-not-inc
37, Private
44, Local-gov
47, Private
27, Private
28, Private
25, Private
20, Private
51, Local-gov
46, Private
67, Private
47, Private
42, Private
52, Private
42, Federal-gov
65, ?
21, Private
50, Private
46, Private
47, Self-emp-not-inc
57, Private
37, Private
50, Private
58, ?
63, Self-emp-not-inc
39, Private
46, Private
36, Private
26, Private
21, Private
41, Private
44, Local-gov
22, Private
29, Federal-gov
29, Private
58, Self-emp-inc
36, Self-emp-not-inc
30, Private
37, Private
29, Private
26, Private
43, Private
49, Private
45, Federal-gov
28, Private
20, ?
51, Private
32, Private
24, Private
35, Private
35, ?
41, State-gov
48, Private
61, Local-gov
20, Private
27, Private
55, Private
39, Private
17, ?
47, Private
52, Private
24, Private
29, Private
25, Private
20, Private
23, Private
57, Private
51, Private
33, Private
39, Private
40, Private
71, Private
38, State-gov
28, State-gov
57, Private
47, Private
59, State-gov
26, Private
35, Private
61, Self-emp-inc
17, ?
36, Private
62, ?
34, Private
32, Self-emp-inc
42, Private
39, Private
58, Private
61, Self-emp-not-inc
40, Private
31, Private
36, Private
23, Private
33, Private
52, Private
22, Private
51, Private
31, Federal-gov
49, Self-emp-inc
49, Private
53, Federal-gov
52, Private
20, Private
26, Private
61, ?
43, Private
46, Self-emp-inc
43, Local-gov
41, Private
44, Self-emp-not-inc
54, Private
65, Private
32, Private
25, Private
23, Private
25, Local-gov
19, Private
37, Self-emp-not-inc
45, Private
37, Private
40, Self-emp-not-inc
19, ?
17, Private
27, Private
40, Local-gov
59, Private
19, Federal-gov
43, Private
42, Private
54, Private
54, Self-emp-not-inc
51, Private
50, Private
40, Private
55, Private
50, Private
31, Private
42, ?
24, Private
30, Private
39, Local-gov
37, Private
33, Private
48, Private
43, Self-emp-inc
39, Private
53, Private
52, Self-emp-not-inc
28, State-gov
32, Private
31, Private
31, Private
47, Private
19, ?
40, Private
40, Private
41, Private
53, Federal-gov
46, Private
45, Self-emp-inc
39, Private
19, Private
57, Private
49, Private
59, Private
32, Private
18, ?
35, State-gov
58, Self-emp-inc
28, Private
36, Federal-gov
41, Self-emp-not-inc
47, Private
50, Self-emp-inc
61, ?
36, Private
38, Private
56, Self-emp-not-inc
50, Private
45, Self-emp-not-inc
44, Self-emp-not-inc
51, Private
44, Self-emp-inc
25, Private
60, Private
17, ?
49, Self-emp-inc
46, Private
56, Private
25, Private
22, Private
76, ?
41, Self-emp-inc
48, Self-emp-inc
46, Private
30, Private
39, Private
40, Private
70, Federal-gov
35, Private
49, Private
24, Private
40, Private
61, Private
25, Private
28, Local-gov
69, State-gov
22, Private
47, Private
38, Private
26, Private
17, Private
33, Self-emp-not-inc
43, Self-emp-not-inc
58, Private
53, Self-emp-inc
26, Private
43, Local-gov
31, Private
30, Private
25, Private
57, Federal-gov
37, Private
32, Private
26, Private
45, Private
53, State-gov
27, Private
28, Self-emp-inc
32, Private
35, Private
36, Self-emp-not-inc
19, Private
37, Self-emp-inc
49, Private
20, Private
64, Self-emp-inc
60, ?
32, Private
58, State-gov
42, Private
20, Private
42, State-gov
25, Private
30, Self-emp-not-inc
37, Self-emp-inc
66, Self-emp-not-inc
59, Self-emp-inc
44, Private
46, Private
59, Private
25, Private
17, Local-gov
47, Local-gov
47, State-gov
30, Private
20, Private
26, Local-gov
20, Private
33, Private
48, Private
52, Private
37, Private
47, Private
40, Private
48, Private
49, Private
50, Private
30, Private
34, Private
43, Private
22, Private
35, Private
26, State-gov
62, Private
39, Local-gov
59, Local-gov
69, ?
27, Private
17, Private
38, Private
41, Private
27, Private
23, Private
17, Private
56, Private
24, Private
62, Private
44, Private
23, Private
41, Self-emp-not-inc
25, Private
21, Private
18, Private
45, Private
75, ?
51, Private
42, Federal-gov
47, Private
29, Private
33, Private
43, Local-gov
20, ?
19, ?
44, Private
24, Private
19, Private
49, ?
52, Private
38, Self-emp-not-inc
24, State-gov
32, Local-gov
72, ?
26, Private
31, Private
29, Private
39, Private
48, Self-emp-not-inc
40, Private
51, Private
28, Self-emp-not-inc
22, Private
23, Private
65, Private
26, Local-gov
20, ?
55, Private
38, Self-emp-not-inc
33, Private
33, Local-gov
37, Private
19, Private
24, Private
30, Private
57, State-gov
22, State-gov
57, Private
46, State-gov
67, Private
35, ?
47, Private
39, Private
50, Private
58, Self-emp-not-inc
36, Private
45, Private
54, Private
26, Private
60, Private
46, Private
26, Private
32, Private
38, Local-gov
48, Self-emp-not-inc
44, Self-emp-not-inc
37, Private
44, Private
31, Private
61, Self-emp-not-inc
51, Private
52, Private
45, Private
36, ?
39, Private
67, Local-gov
40, State-gov
27, Private
37, Private
57, Private
27, Private
28, Private
34, Self-emp-inc
54, Private
52, Private
42, Private
48, Private
65, State-gov
55, Self-emp-not-inc
71, Self-emp-inc
33, Private
30, Private
35, Private
59, Private
19, Private
36, Self-emp-not-inc
26, Self-emp-not-inc
34, Local-gov
41, Private
44, Private
26, ?
47, Private
18, Private
55, Self-emp-not-inc
49, Local-gov
44, Private
43, Private
62, Private
44, Private
39, ?
50, Self-emp-inc
35, Private
52, Private
46, Private
44, Private
43, Private
51, Private
20, Private
47, Private
43, Private
64, ?
24, Private
27, Federal-gov
32, Private
37, Private
26, Private
43, Private
50, Private
20, Self-emp-not-inc
37, Private
43, Private
37, Private
53, Private
44, Private
25, Private
17, Private
19, Private
53, State-gov
44, Private
51, Private
49, Private
35, Private
44, Private
54, Private
37, Private
18, Private
24, Private
29, Private
22, ?
35, Private
56, Private
32, ?
24, Private
43, Private
73, Private
47, Federal-gov
49, Private
38, Private
31, Private
39, Private
42, Private
41, Private
35, Private
38, Private
31, Private
51, Local-gov
38, Private
40, Local-gov
21, Private
44, Private
55, Private
29, Private
49, Private
31, Private
24, Private
46, Private
26, Private
35, Private
27, Private
64, Self-emp-not-inc
26, Private
21, Private
45, Private
57, Local-gov
30, Private
45, Private
50, Private
38, Private
43, Self-emp-not-inc
42, Private
32, Private
20, Private
27, Private
45, Private
40, Private
38, Private
37, Private
60, Private
53, Self-emp-not-inc
25, Private
47, Self-emp-not-inc
40, Self-emp-not-inc
51, ?
19, Private
42, Private
65, ?
41, Private
28, Private
46, Private
49, Private
24, Private
32, Private
71, Private
26, Private
29, Private
50, Private
51, Private
17, ?
49, Private
31, Private
23, Private
59, Local-gov
17, ?
43, Private
38, Private
37, Private
29, Private
39, Private
31, Private
42, Local-gov
35, Local-gov
39, Private
40, Private
66, Private
30, Federal-gov
43, Private
47, Private
45, Private
31, Private
33, Private
32, Private
28, Private
50, Federal-gov
63, Private
28, Private
38, Private
52, Private
38, Self-emp-inc
41, Private
50, State-gov
59, Private
32, Private
73, Local-gov
52, Self-emp-inc
57, Private
35, Private
51, Private
22, Private
49, Private
22, Private
46, Local-gov
48, Private
52, Private
43, State-gov
25, Private
31, Private
19, Private
19, ?
51, Private
51, Private
22, Self-emp-not-inc
37, Local-gov
19, Private
45, Private
21, State-gov
52, Private
46, Local-gov
42, State-gov
56, Private
23, Private
58, Private
70, Private
30, Private
45, Private
23, Private
34, Local-gov
38, Private
24, Private
53, Private
45, Federal-gov
21, ?
21, Private
34, Private
32, Self-emp-inc
21, Private
63, ?
23, Private
28, Private
29, Self-emp-not-inc
25, Local-gov
44, State-gov
18, Private
26, Private
47, Local-gov
23, Private
46, Private
61, Local-gov
25, Private
38, Local-gov
60, ?
23, Private
36, Federal-gov
46, Private
32, Self-emp-not-inc
40, Private
31, Private
31, Private
32, State-gov
21, Private
63, Private
44, Private
42, Self-emp-not-inc
23, ?
30, Private
24, Private
42, Private
44, Self-emp-not-inc
27, Federal-gov
27, Local-gov
22, Private
68, Private
55, Self-emp-not-inc
22, Self-emp-not-inc
25, Private
68, Self-emp-not-inc
62, Private
26, Private
34, Private
68, Private
42, Local-gov
45, Private
26, Private
25, Private
23, Private
29, Private
65, Without-pay
31, Private
26, Private
39, Private
44, Private
45, Local-gov
26, Self-emp-not-inc
26, Private
36, Private
38, Private
39, Private
52, Self-emp-inc
39, Private
41, Self-emp-not-inc
42, Local-gov
47, Private
28, Local-gov
25, Local-gov
35, Private
32, Private
38, Private
44, Private
21, ?
27, Private
30, Private
30, Private
45, Private
20, Private
57, Private
43, Private
50, ?
28, Private
25, Private
25, Private
90, Private
38, Local-gov
35, Private
50, State-gov
26, Local-gov
39, Private
56, Private
24, Local-gov
46, Private
18, Local-gov
37, Private
57, Private
43, State-gov
29, State-gov
40, Private
44, Self-emp-not-inc
77, Local-gov
30, Private
21, Private
66, Private
40, Private
68, Private
64, Private
26, Private
32, Private
32, Private
51, Local-gov
50, Private
49, Private
28, Private
29, Private
21, Private
28, Private
55, Private
45, Self-emp-not-inc
35, Private
31, ?
26, Private
30, Private
33, Private
40, Private
23, Private
35, Private
48, Self-emp-not-inc
39, Local-gov
53, Local-gov
49, Federal-gov
31, Private
36, Private
60, Self-emp-inc
29, Private
54, Self-emp-inc
28, ?
34, Private
30, Private
19, Private
26, Private
47, Private
50, Private
30, Private
44, Private
49, Private
75, Self-emp-not-inc
37, Private
51, State-gov
35, Private
28, Private
66, Self-emp-not-inc
72, Private
39, Private
27, Private
57, Private
24, Private
28, Private
23, Private
31, Private
23, Private
31, Private
27, Local-gov
30, Private
31, Private
34, Private
57, Federal-gov
39, Private
23, Private
24, Local-gov
36, Private
32, Private
35, Private
36, Private
23, ?
47, Private
35, Private
44, Federal-gov
32, State-gov
32, Private
63, Self-emp-not-inc
34, Private
47, Private
27, Private
23, Private
19, ?
50, Private
49, State-gov
36, Private
23, Private
61, Private
41, Private
27, Self-emp-not-inc
53, Private
17, Self-emp-not-inc
23, ?
53, Private
28, Private
24, Private
22, Private
53, Private
18, Private
24, Private
20, Private
30, Local-gov
37, State-gov
34, Private
19, Private
20, Private
47, Private
20, ?
22, Private
42, Local-gov
60, Private
32, Private
46, Private
66, Private
37, Private
34, Private
45, Private
35, Private
63, ?
51, Local-gov
36, Local-gov
25, Federal-gov
51, Private
25, Self-emp-not-inc
19, Private
47, Private
59, Local-gov
34, Private
40, Private
42, Private
28, ?
37, Private
51, Self-emp-inc
25, Private
31, Federal-gov
37, Private
42, Private
29, ?
35, Private
51, Private
22, ?
49, Private
26, Private
56, Local-gov
52, Private
61, Self-emp-not-inc
47, State-gov
52, Private
30, Private
43, Self-emp-inc
35, Private
17, ?
42, Private
26, Private
58, Local-gov
66, Private
30, Private
46, Private
45, Private
57, Private
25, Private
21, State-gov
37, Private
45, Local-gov
61, ?
39, Private
42, Private
20, Private
23, Private
25, Private
47, Private
24, Private
20, ?
35, Private
44, Local-gov
47, State-gov
28, State-gov
41, Local-gov
31, Private
27, Private
47, Private
44, Private
61, Private
42, Federal-gov
46, Private
46, Private
54, Local-gov
49, Private
56, Local-gov
52, Private
34, Private
25, Self-emp-not-inc
18, Private
58, Private
31, State-gov
29, Private
28, Private
30, Private
21, ?
44, Private
75, Private
66, ?
26, Private
33, Self-emp-inc
57, Self-emp-inc
47, Self-emp-not-inc
41, Private
21, Private
17, Private
61, ?
47, ?
22, Private
47, Private
45, Private
32, Self-emp-not-inc
59, Private
38, Private
33, Private
41, Private
51, Private
42, Private
27, Private
60, Private
64, Local-gov
37, Private
54, Self-emp-not-inc
36, Private
34, Private
41, Self-emp-not-inc
35, Self-emp-not-inc
63, Self-emp-inc
46, Private
47, Self-emp-not-inc
24, Private
29, Private
74, Federal-gov
50, Private
22, Private
48, Private
30, Private
32, Private
39, Private
49, Private
25, Private
50, Private
44, Private
65, Private
28, Federal-gov
55, Private
49, Local-gov
31, Private
47, Private
45, Private
35, Private
34, Self-emp-not-inc
49, Local-gov
39, ?
27, Private
42, Private
60, ?
64, Self-emp-not-inc
33, Private
23, Private
45, Private
34, Private
53, Private
22, Private
57, State-gov
20, ?
23, Private
31, Private
23, State-gov
30, Private
32, Local-gov
42, Private
51, Private
59, Self-emp-not-inc
36, Private
45, Private
35, Private
33, Private
43, Private
60, Private
37, State-gov
35, Private
36, Private
38, Federal-gov
54, Private
51, Private
45, Private
63, Federal-gov
51, Private
58, Self-emp-not-inc
64, Local-gov
