,age,workclass
134,46, Private
135,38, Federal-gov
136,43, Self-emp-not-inc
137,27, Private
138,20, Private
139,49, Private
140,61, Self-emp-inc
141,27, Private
142,19, Private
143,45, Private
144,70, Private
145,31, Private
146,22, Private
147,36, Private
148,64, Private
149,43, ?
150,47, Local-gov
151,34, Private
152,33, Private
153,21, Private
154,52, ?
155,48, Private
156,23, Private
157,71, Self-emp-not-inc
158,29, Private
159,42, Private
160,68, ?
161,25, Private
162,44, Self-emp-inc
163,28, Private
164,45, Self-emp-not-inc
165,36, Private
166,39, Federal-gov
167,46, State-gov
168,18, Private
169,66, Local-gov
170,27, Private
171,28, State-gov
172,51, Private
173,27, Private
174,28, State-gov
175,27, Private
176,21, Private
177,34, Private
178,18, Private
179,33, Private
180,44, Local-gov
181,43, Private
182,30, Private
183,40, Private
184,37, Federal-gov
185,34, Private
186,41, Self-emp-not-inc
187,53, ?
188,31, Private
189,58, State-gov
190,38, Private
191,24, Private
192,41, Local-gov
193,47, Private
194,41, Federal-gov
195,23, Private
196,36, Private
197,40, Federal-gov
198,35, Private
199,24, Self-emp-not-inc
200,26, Private
201,19, ?
202,51, Private
203,42, Local-gov
204,37, State-gov
205,18, Private
206,36, Private
207,35, Private
208,58, Self-emp-inc
209,17, Private
210,44, Local-gov
211,37, Private
212,35, Private
213,60, Private
214,54, Self-emp-inc
215,37, Private
216,50, Private
217,38, Private
218,45, Private
219,25, Private
220,31, Private
221,64, ?
222,90, Private
223,54, Private
224,53, Local-gov
225,18, Private
226,60, ?
227,66, Self-emp-not-inc
228,75, Private
229,65, Private
230,35, Private
231,41, Private
232,25, Private
233,33, Private
234,28, Private
235,59, State-gov
236,40, State-gov
237,41, Private
238,38, Local-gov
239,23, Private
240,40, Private
241,41, Self-emp-not-inc
242,24, State-gov
243,20, ?
244,38, Private
245,56, Private
246,58, Private
247,32, Private
248,40, Private
249,45, Private
250,41, Private
251,42, Private
252,59, Local-gov
253,19, Local-gov
254,58, Private
255,42, Self-emp-not-inc
256,20, Private
257,32, Private
258,45, Private
259,50, Private
260,36, Private
261,45, Private
262,17, Private
263,59, Private
264,26, Private
265,37, Self-emp-inc
266,19, ?
267,64, Private
268,33, Private
269,33, Private
270,61, Private
271,17, Private
272,50, Self-emp-not-inc
273,27, Local-gov
274,30, Private
275,43, Private
276,44, Private
277,35, Private
278,25, Private
279,24, Private
280,22, Private
281,42, Local-gov
282,34, Private
283,60, Private
284,21, Private
285,57, Federal-gov
286,41, Private
287,50, Private
288,25, Private
289,50, Private
290,36, Private
291,31, Private
292,29, Local-gov
293,21, Private
294,27, Private
295,65, Private
296,37, Self-emp-inc
297,39, ?
298,24, Private
299,38, Private
300,48, Private
301,21, Private
302,31, Private
303,55, Private
304,24, Private
305,43, Private
306,26, Private
307,46, Private
308,35, Private
309,41, Self-emp-inc
310,26, Private
311,34, Private
312,19, ?
313,36, Self-emp-not-inc
314,22, Private
315,24, Private
316,77, Self-emp-not-inc
317,22, Private
318,29, Private
319,62, Private
320,39, Self-emp-not-inc
321,43, Private
322,35, Private
323,29, Private
324,76, Self-emp-not-inc
325,63, Self-emp-not-inc
326,23, ?
327,43, Private
328,58, Self-emp-not-inc
329,66, Private
330,41, Private
331,26, Private
332,47, Private
333,55, Local-gov
334,53, Private
335,17, Private
336,30, Private
337,49, Private
338,19, Private
339,45, Private
340,26, Private
341,38, Private
342,36, State-gov
343,33, Private
344,22, State-gov
345,43, Self-emp-not-inc
346,67, ?
347,30, ?
348,56, Private
349,31, Private
350,33, Private
351,26, Private
352,33, Private
353,46, Local-gov
354,59, ?
355,38, Federal-gov
356,65, Private
357,40, Private
358,42, Private
359,26, Self-emp-not-inc
360,36, Private
361,62, Private
362,43, Private
363,43, Private
364,22, Private
365,28, Private
366,56, Self-emp-not-inc
367,22, Private
368,57, Private
369,39, Private
370,26, Federal-gov
371,17, Private
372,40, State-gov
373,45, Private
374,44, Private
375,20, Local-gov
376,33, Private
377,23, Private
378,46, Self-emp-not-inc
379,38, Private
380,54, Private
381,46, Private
382,25, Private
383,46, Private
384,36, Local-gov
385,23, Private
386,29, Private
387,44, Private
388,19, Private
389,19, Private
390,35, Private
391,27, Private
392,46, Self-emp-not-inc
393,34, State-gov
394,34, Private
395,44, Private
396,45, Private
397,20, ?
398,25, Private
399,52, Self-emp-inc
400,20, Private
401,28, Private
402,50, State-gov
403,34, Private
404,28, Private
405,41, Private
406,28, Private
407,46, Self-emp-not-inc
408,28, ?
409,32, Private
410,41, Local-gov
411,24, Private
412,33, Private
413,46, Private
414,31, State-gov
415,35, Private
416,52, Private
417,30, Private
418,34, Local-gov
419,34, State-gov
420,20, Private
421,17, Private
422,32, State-gov
423,29, Private
424,33, Private
425,25, Private
426,36, Federal-gov
427,23, Private
428,63, Self-emp-inc
429,47, Local-gov
430,80, ?
431,17, ?
432,40, Self-emp-not-inc
433,30, Private
434,27, Private
435,33, Private
436,34, Local-gov
437,34, Local-gov
438,23, Private
439,42, Local-gov
440,29, Private
441,45, Private
442,24, Federal-gov
443,44, Private
444,27, Private
445,20, Private
446,44, Private
447,51, Private
448,20, Private
449,17, ?
450,19, Private
451,45, Self-emp-inc
452,60, Private
453,42, Private
454,44, Self-emp-not-inc
455,40, Private
456,30, Private
457,38, Private
458,23, Private
459,32, ?
460,44, Private
461,54, Local-gov
462,32, Private
463,50, Private
464,24, Private
465,37, Private
466,52, Private
467,38, Private
468,49, Private
469,30, Private
470,60, Private
471,22, ?
472,35, Private
473,30, Private
474,67, Private
475,46, Private
476,17, Private
477,22, Private
478,27, Private
479,23, Private
480,33, Private
481,43, Self-emp-not-inc
482,28, State-gov
483,41, Private
484,52, ?
485,25, Private
486,63, ?
487,59, Local-gov
488,45, Local-gov
489,38, Private
490,40, Private
491,46, Federal-gov
492,35, Private
493,34, Private
494,33, Private
495,41, Private
496,20, Private
497,23, Private
498,26, Private
499,72, ?
500,23, Local-gov
501,62, Local-gov
502,52, Private
503,58, Private
504,25, Private
505,24, Private
506,19, Private
507,43, Private
508,47, Local-gov
509,39, Private
510,49, Private
511,53, ?
512,32, Private
513,34, Private
514,28, Private
515,57, ?
516,25, Private
517,20, ?
518,21, ?
519,34, Private
520,38, Self-emp-inc
521,50, Private
522,24, Local-gov
523,37, Local-gov
524,44, Private
525,28, Private
526,42, Private
527,74, Private
528,38, Self-emp-not-inc
529,44, Self-emp-not-inc
530,44, Private
531,26, Private
532,36, Private
533,41, Private
534,67, Private
535,39, Local-gov
536,57, Private
537,29, Private
538,31, Self-emp-inc
539,34, ?
540,44, Private
541,29, Private
542,30, Private
543,27, Private
544,27, Private
545,32, Private
546,58, Private
547,35, Local-gov
548,21, Private
549,28, Private
550,46, Self-emp-not-inc
551,36, Self-emp-not-inc
552,72, Private
553,35, Private
554,33, Federal-gov
555,69, Private
556,35, Private
557,31, Private
558,34, Private
559,30, Private
560,28, Private
561,54, Private
562,47, Private
563,24, Private
564,52, Self-emp-not-inc
565,20, Private
566,43, Self-emp-inc
567,45, Private
568,29, Self-emp-not-inc
569,47, Private
570,24, Private
571,51, Private
572,17, Private
573,37, Private
574,27, Private
575,29, Private
576,18, ?
577,36, Self-emp-not-inc
578,58, Local-gov
579,26, Self-emp-not-inc
580,65, ?
581,57, Private
582,59, Private
583,27, Private
584,31, Self-emp-not-inc
585,21, Private
586,29, Private
587,18, Private
588,52, Private
589,57, Self-emp-inc
590,42, ?
591,55, ?
592,60, Private
593,31, Private
594,23, Private
595,27, Private
596,23, ?
597,42, Self-emp-not-inc
598,25, Private
599,49, Private
600,32, Private
601,19, Private
602,60, Private
603,42, Local-gov
604,35, Self-emp-not-inc
605,48, Private
606,51, Private
607,29, Private
608,36, Local-gov
609,17, Private
610,52, Private
611,24, Private
612,24, Private
613,26, Local-gov
614,27, Private
615,39, Private
616,30, Private
617,50, Self-emp-not-inc
618,52, Self-emp-inc
619,46, Private
620,23, Private
621,45, Private
622,65, Private
623,29, Private
624,47, Private
625,30, Private
626,34, Private
627,38, Self-emp-not-inc
628,33, Private
629,49, Private
630,47, Self-emp-not-inc
631,49, Local-gov
632,43, Private
633,30, Private
634,58, Self-emp-not-inc
635,19, Private
636,21, Private
637,33, Private
638,47, Self-emp-inc
639,52, Self-emp-not-inc
640,26, Private
641,60, Private
642,21, Private
643,36, Private
644,31, Private
645,50, Self-emp-inc
646,31, Local-gov
647,71, Private
648,58, ?
649,30, State-gov
650,20, Private
651,24, Private
652,35, Private
653,38, State-gov
654,27, Private
655,29, State-gov
656,70, ?
657,34, Private
658,44, Private
659,43, Private
660,44, Self-emp-not-inc
661,35, Private
662,27, Private
663,43, Local-gov
664,20, Private
665,42, Private
666,27, State-gov
667,42, Private
668,20, ?
669,24, Private
670,48, Federal-gov
671,17, ?
672,17, Self-emp-not-inc
673,33, Private
674,50, Self-emp-inc
675,22, Private
676,17, Private
677,32, Private
678,31, Private
679,58, Self-emp-not-inc
680,29, Local-gov
681,37, Private
682,34, Self-emp-not-inc
683,23, Local-gov
684,18, State-gov
685,34, Private
686,66, ?
687,45, Local-gov
688,41, Private
689,26, Private
690,54, Local-gov
691,24, Private
692,42, Private
693,20, Private
694,23, State-gov
695,25, ?
696,35, Private
697,31, Private
698,30, Private
699,19, Private
700,36, Local-gov
701,31, Private
702,21, Private
703,31, Self-emp-not-inc
704,46, Private
705,44, Private
706,40, Private
707,45, Private
708,60, Private
709,18, Private
710,28, Private
711,36, Private
712,36, Private
713,40, Private
714,36, Local-gov
715,31, Private
716,33, Private
717,19, State-gov
718,22, Private
719,34, Private
720,33, Private
721,41, Private
722,29, Private
723,50, Local-gov
724,42, Private
725,43, Private
726,44, Private
727,20, Private
728,31, Private
729,65, Self-emp-not-inc
730,23, Private
731,55, Private
732,26, Private
733,25, Private
734,45, ?
735,35, Private
736,36, Private
737,43, State-gov
738,56, Private
739,42, Private
740,19, Private
741,55, Self-emp-not-inc
742,42, Private
743,26, Private
744,17, Private
745,42, Local-gov
746,55, Private
747,32, Private
748,29, Private
749,46, State-gov
750,29, State-gov
751,22, Private
752,58, Self-emp-not-inc
753,23, Private
754,39, Private
755,27, Private
756,54, Private
757,33, Local-gov
758,46, Federal-gov
759,37, Private
760,36, Private
761,59, Local-gov
762,34, Local-gov
763,53, Self-emp-inc
764,51, Private
765,32, Private
766,31, State-gov
767,22, Private
768,47, Self-emp-not-inc
769,32, Private
770,26, Private
771,37, Private
772,31, Private
773,37, Private
774,55, Private
775,23, Local-gov
776,36, Private
777,34, Private
778,43, Private
779,54, Private
780,43, State-gov
781,28, Private
782,40, Private
783,41, Self-emp-not-inc
784,40, Private
785,42, Private
786,61, Self-emp-not-inc
787,18, Private
788,59, ?
789,21, ?
790,48, Private
791,41, Self-emp-inc
792,18, ?
793,23, Private
794,60, Private
795,22, Private
796,61, Private
797,25, Private
798,46, Private
799,43, Private
800,43, Private
801,24, Private
802,68, Self-emp-not-inc
803,31, Private
804,17, Private
805,32, Private
806,50, ?
807,33, Private
808,64, Private
809,20, Private
810,30, Private
811,22, ?
812,43, Private
813,22, Private
814,17, Private
815,47, Self-emp-not-inc
816,41, Private
817,56, Private
818,64, Private
819,47, Private
820,48, Private
821,31, Private
822,29, Private
823,30, Private
824,32, Private
825,57, Private
826,62, Private
827,39, Private
828,43, Private
829,24, Self-emp-inc
830,42, ?
831,53, Private
832,26, Private
833,73, Self-emp-not-inc
834,72, ?
835,55, Private
836,25, Private
837,41, Private
838,24, Private
839,63, Private
840,17, Private
841,35, Private
842,51, Private
843,62, Local-gov
844,55, Private
845,43, Private
846,40, Local-gov
847,37, Private
848,39, Private
849,31, Private
850,61, Private
851,26, Private
852,46, Self-emp-not-inc
853,26, Private
854,48, State-gov
855,34, Private
856,34, Local-gov
857,59, Private
858,34, Private
859,49, Private
860,18, Private
861,43, Private
862,48, Private
863,28, Self-emp-inc
864,33, Private
865,24, Private
866,21, Private
867,17, Private
868,39, Private
869,29, Self-emp-not-inc
870,44, Private
871,24, Private
872,71, Self-emp-not-inc
873,51, Self-emp-not-inc
874,55, Private
875,41, Private
876,23, Private
877,38, Private
878,39, Private
879,19, Private
880,49, Private
881,32, Private
882,27, Private
883,38, Private
884,33, Private
885,63, ?
886,23, Private
887,33, Self-emp-inc
888,54, Self-emp-not-inc
889,29, Private
890,48, ?
891,35, Self-emp-not-inc
892,28, Private
893,37, Private
894,42, Self-emp-not-inc
895,40, Private
896,47, Private
897,22, Private
898,30, Private
899,28, Private
900,63, Local-gov
901,51, Self-emp-not-inc
902,22, Private
903,27, ?
904,35, Private
905,46, Private
906,37, Private
907,24, Private
908,37, Self-emp-not-inc
909,53, Private
910,27, Private
911,38, Private
912,53, Self-emp-not-inc
913,34, Private
914,23, Private
915,39, Private
916,43, Private
917,67, Self-emp-inc
918,81, Self-emp-not-inc
919,21, Private
920,23, Private
921,25, Private
922,42, Private
923,38, Private
924,64, ?
925,32, Private
926,37, Private
927,51, Private
928,22, Private
929,33, Private
930,42, Private
931,19, ?
932,51, Local-gov
933,23, Private
934,37, Private
935,37, Private
936,47, Private
937,41, Private
938,33, Private
939,31, Private
940,31, Private
941,35, Private
942,38, Self-emp-inc
943,18, Private
944,20, Private
945,54, Local-gov
946,40, Private
947,36, Self-emp-inc
948,43, Private
949,44, Self-emp-not-inc
950,44, State-gov
951,43, Private
952,51, Private
953,18, Private
954,51, Private
955,41, Private
956,44, Self-emp-inc
957,33, Local-gov
958,33, Self-emp-not-inc
959,42, Private
960,25, Private
961,32, Private
962,32, Private
963,36, Private
964,28, Private
965,20, Private
966,35, Self-emp-inc
967,55, Self-emp-not-inc
968,48, Private
969,36, ?
970,34, Private
971,28, Private
972,67, Private
973,37, Private
974,44, Private
975,25, Private
976,21, Private
977,40, State-gov
978,78, Private
979,34, Private
980,49, Private
981,22, Private
982,23, ?
983,60, Self-emp-not-inc
984,45, Local-gov
985,63, Private
986,41, Private
987,47, Private
988,44, Private
989,51, Private
990,46, Private
991,41, Private
992,50, Self-emp-not-inc
993,47, Private
994,35, Private
995,56, Private
996,45, Private
997,48, Federal-gov
998,40, Private
999,39, Self-emp-inc
1000,20, Private
1001,50, Private
1002,38, State-gov
1003,23, Local-gov
1004,31, Private
1005,58, Private
1006,66, Private
1007,39, Self-emp-inc
1008,54, Self-emp-not-inc
1009,26, Private
1010,51, Private
1011,34, Private
1012,50, Private
1013,42, Private
1014,38, Private
1015,48, Private
1016,33, Private
1017,51, Private
1018,22, Private
1019,19, ?
1020,41, Private
1021,48, Local-gov
1022,42, Private
1023,34, Private
1024,23, Private
1025,56, Private
1026,30, Private
1027,45, Private
1028,48, Private
1029,48, Self-emp-inc
1030,31, Private
1031,20, State-gov
1032,27, Private
1033,32, Private
1034,76, ?
1035,19, ?
1036,66, Self-emp-inc
1037,37, Private
1038,34, Private
1039,34, ?
1040,90, Private
1041,23, Private
1042,43, Private
1043,44, Private
1044,24, Private
1045,28, Private
1046,64, ?
1047,23, Private
1048,20, Private
1049,36, Private
1050,61, Private
1051,53, Self-emp-not-inc
1052,30, Private
1053,52, Self-emp-not-inc
1054,38, Private
1055,32, Private
1056,30, Self-emp-not-inc
1057,41, Private
1058,49, Local-gov
1059,45, Private
1060,43, Self-emp-not-inc
1061,61, Private
1062,54, Private
1063,34, Private
1064,49, Private
1065,38, Private
1066,35, Private
1067,36, Private
1068,30, Private
1069,36, Private
1070,22, Local-gov
1071,38, Private
1072,37, Private
1073,48, State-gov
1074,17, Private
1075,19, Self-emp-not-inc
1076,27, Private
1077,22, Private
1078,49, Private
1079,43, State-gov
1080,43, Private
1081,19, Local-gov
1082,58, Self-emp-not-inc
1083,41, Local-gov
1084,31, Private
1085,30, Private
1086,32, Private
1087,29, Private
1088,42, Private
1089,38, Private
1090,41, Federal-gov
1091,44, Self-emp-not-inc
1092,31, Private
1093,34, Private
1094,21, Private
1095,22, Self-emp-not-inc
1096,62, Private
1097,19, ?
1098,29, Self-emp-inc
1099,43, Private
1100,68, ?
1101,45, Self-emp-inc
1102,39, Self-emp-inc
1103,41, Private
1104,34, Self-emp-not-inc
1105,34, Local-gov
1106,31, Private
1107,29, Private
1108,41, Private
1109,41, Private
1110,35, Self-emp-inc
1111,33, Private
1112,37, State-gov
1113,69, Private
1114,34, Private
1115,60, Self-emp-inc
1116,36, Private
1117,41, Private
1118,58, Local-gov
1119,53, Private
1120,29, Private
1121,45, Federal-gov
1122,34, State-gov
1123,36, Private
1124,48, Private
1125,20, Private
1126,35, Private
1127,63, Federal-gov
1128,41, Self-emp-not-inc
1129,28, Private
1130,30, Private
1131,34, ?
1132,31, Private
1133,37, Private
1134,42, ?
1135,31, Private
1136,46, Self-emp-not-inc
1137,35, Federal-gov
1138,27, Private
1139,41, Private
1140,19, Private
1141,20, Private
1142,59, Federal-gov
1143,40, Private
1144,56, Self-emp-not-inc
1145,33, Private
1146,30, Self-emp-inc
1147,46, Private
1148,61, Self-emp-inc
1149,50, Self-emp-inc
1150,25, Private
1151,40, Private
1152,24, ?
1153,51, Private
1154,43, State-gov
1155,34, Private
1156,46, Private
1157,28, State-gov
1158,26, Private
1159,20, Private
1160,44, Private
1161,51, Private
1162,33, Private
1163,54, Private
1164,50, Private
1165,33, Private
1166,65, Private
1167,22, ?
1168,88, Self-emp-not-inc
1169,40, Private
1170,51, Private
1171,50, Private
1172,25, Private
1173,20, Private
1174,47, Private
1175,58, ?
1176,22, Private
1177,50, State-gov
1178,47, Private
1179,24, Local-gov
1180,50, ?
1181,40, Private
1182,36, Private
1183,32, Private
1184,44, Private
1185,51, ?
1186,59, Federal-gov
1187,65, Private
1188,24, State-gov
1189,27, Local-gov
1190,51, Private
1191,48, Private
1192,39, Private
1193,28, Private
1194,19, Private
1195,49, Local-gov
1196,51, Local-gov
1197,59, Private
1198,18, Private
1199,50, Private
1200,45, Federal-gov
1201,30, Local-gov
1202,37, Private
1203,44, Private
1204,33, Private
1205,61, Self-emp-inc
1206,61, Local-gov
1207,38, Private
1208,22, ?
1209,36, Private
1210,44, Self-emp-inc
1211,37, Private
1212,31, Private
1213,54, Private
1214,20, Private
1215,63, ?
1216,48, Self-emp-not-inc
1217,33, ?
1218,31, Private
1219,38, Private
1220,45, Self-emp-not-inc
1221,48, Private
1222,53, Private
1223,55, Private
1224,38, Private
1225,29, Private
1226,36, Private
1227,42, Self-emp-not-inc
1228,50, Private
1229,75, Self-emp-not-inc
1230,46, Private
1231,52, Federal-gov
1232,27, Private
1233,43, Private
1234,31, Private
1235,23, Private
1236,34, Private
1237,41, Self-emp-not-inc
1238,31, Private
1239,42, Private
1240,35, Private
1241,55, Private
1242,36, State-gov
1243,65, Self-emp-not-inc
1244,38, Local-gov
1245,62, Private
1246,54, Self-emp-inc
1247,49, Private
1248,34, Private
1249,32, Private
1250,51, Self-emp-inc
1251,48, Self-emp-not-inc
1252,30, Private
1253,52, Federal-gov
1254,28, Self-emp-not-inc
1255,29, Private
1256,38, Private
1257,57, Private
1258,43, Federal-gov
1259,37, State-gov
1260,30, Private
1261,53, Private
1262,69, ?
1263,73, Private
1264,22, Self-emp-inc
1265,31, Private
1266,38, Private
1267,50, Self-emp-not-inc
1268,37, Private
1269,44, Local-gov
1270,47, Private
1271,27, Private
1272,28, Private
1273,25, Private
1274,20, Private
1275,51, Local-gov
1276,46, Private
1277,67, Private
1278,47, Private
1279,42, Private
1280,52, Private
1281,42, Federal-gov
1282,65, ?
1283,21, Private
1284,50, Private
1285,46, Private
1286,47, Self-emp-not-inc
1287,57, Private
1288,37, Private
1289,50, Private
1290,58, ?
1291,63, Self-emp-not-inc
1292,39, Private
1293,46, Private
1294,36, Private
1295,26, Private
1296,21, Private
1297,41, Private
1298,44, Local-gov
1299,22, Private
1300,29, Federal-gov
1301,29, Private
1302,58, Self-emp-inc
1303,36, Self-emp-not-inc
1304,30, Private
1305,37, Private
1306,29, Private
1307,26, Private
1308,43, Private
1309,49, Private
1310,45, Federal-gov
1311,28, Private
1312,20, ?
1313,51, Private
1314,32, Private
1315,24, Private
1316,35, Private
1317,35, ?
1318,41, State-gov
1319,48, Private
1320,61, Local-gov
1321,20, Private
1322,27, Private
1323,55, Private
1324,39, Private
1325,17, ?
1326,47, Private
1327,52, Private
1328,24, Private
1329,29, Private
1330,25, Private
1331,20, Private
1332,23, Private
1333,57, Private
1334,51, Private
1335,33, Private
1336,39, Private
1337,40, Private
1338,71, Private
1339,38, State-gov
1340,28, State-gov
1341,57, Private
1342,47, Private
1343,59, State-gov
1344,26, Private
1345,35, Private
1346,61, Self-emp-inc
1347,17, ?
1348,36, Private
1349,62, ?
1350,34, Private
1351,32, Self-emp-inc
1352,42, Private
1353,39, Private
1354,58, Private
1355,61, Self-emp-not-inc
1356,40, Private
1357,31, Private
1358,36, Private
1359,23, Private
1360,33, Private
1361,52, Private
1362,22, Private
1363,51, Private
1364,31, Federal-gov
1365,49, Self-emp-inc
1366,49, Private
1367,53, Federal-gov
1368,52, Private
1369,20, Private
1370,26, Private
1371,61, ?
1372,43, Private
1373,46, Self-emp-inc
1374,43, Local-gov
1375,41, Private
1376,44, Self-emp-not-inc
1377,54, Private
1378,65, Private
1379,32, Private
1380,25, Private
1381,23, Private
1382,25, Local-gov
1383,19, Private
1384,37, Self-emp-not-inc
1385,45, Private
1386,37, Private
1387,40, Self-emp-not-inc
1388,19, ?
1389,17, Private
1390,27, Private
1391,40, Local-gov
1392,59, Private
1393,19, Federal-gov
1394,43, Private
1395,42, Private
1396,54, Private
1397,54, Self-emp-not-inc
1398,51, Private
1399,50, Private
1400,40, Private
1401,55, Private
1402,50, Private
1403,31, Private
1404,42, ?
1405,24, Private
1406,30, Private
1407,39, Local-gov
1408,37, Private
1409,33, Private
1410,48, Private
1411,43, Self-emp-inc
1412,39, Private
1413,53, Private
1414,52, Self-emp-not-inc
1415,28, State-gov
1416,32, Private
1417,31, Private
1418,31, Private
1419,47, Private
1420,19, ?
1421,40, Private
1422,40, Private
1423,41, Private
1424,53, Federal-gov
1425,46, Private
1426,45, Self-emp-inc
1427,39, Private
1428,19, Private
1429,57, Private
1430,49, Private
1431,59, Private
1432,32, Private
1433,18, ?
1434,35, State-gov
1435,58, Self-emp-inc
1436,28, Private
1437,36, Federal-gov
1438,41, Self-emp-not-inc
1439,47, Private
1440,50, Self-emp-inc
1441,61, ?
1442,36, Private
1443,38, Private
1444,56, Self-emp-not-inc
1445,50, Private
1446,45, Self-emp-not-inc
1447,44, Self-emp-not-inc
1448,51, Private
1449,44, Self-emp-inc
1450,25, Private
1451,60, Private
1452,17, ?
1453,49, Self-emp-inc
1454,46, Private
1455,56, Private
1456,25, Private
1457,22, Private
1458,76, ?
1459,41, Self-emp-inc
1460,48, Self-emp-inc
1461,46, Private
1462,30, Private
1463,39, Private
1464,40, Private
1465,70, Federal-gov
1466,35, Private
1467,49, Private
1468,24, Private
1469,40, Private
1470,61, Private
1471,25, Private
1472,28, Local-gov
1473,69, State-gov
1474,22, Private
1475,47, Private
1476,38, Private
1477,26, Private
1478,17, Private
1479,33, Self-emp-not-inc
1480,43, Self-emp-not-inc
1481,58, Private
1482,53, Self-emp-inc
1483,26, Private
1484,43, Local-gov
1485,31, Private
1486,30, Private
1487,25, Private
1488,57, Federal-gov
1489,37, Private
1490,32, Private
1491,26, Private
1492,45, Private
1493,53, State-gov
1494,27, Private
1495,28, Self-emp-inc
1496,32, Private
1497,35, Private
1498,36, Self-emp-not-inc
1499,19, Private
1500,37, Self-emp-inc
1501,49, Private
1502,20, Private
1503,64, Self-emp-inc
1504,60, ?
1505,32, Private
1506,58, State-gov
1507,42, Private
1508,20, Private
1509,42, State-gov
1510,25, Private
1511,30, Self-emp-not-inc
1512,37, Self-emp-inc
1513,66, Self-emp-not-inc
1514,59, Self-emp-inc
1515,44, Private
1516,46, Private
1517,59, Private
1518,25, Private
1519,17, Local-gov
1520,47, Local-gov
1521,47, State-gov
1522,30, Private
1523,20, Private
1524,26, Local-gov
1525,20, Private
1526,33, Private
1527,48, Private
1528,52, Private
1529,37, Private
1530,47, Private
1531,40, Private
1532,48, Private
1533,49, Private
1534,50, Private
1535,30, Private
1536,34, Private
1537,43, Private
1538,22, Private
1539,35, Private
1540,26, State-gov
1541,62, Private
1542,39, Local-gov
1543,59, Local-gov
1544,69, ?
1545,27, Private
1546,17, Private
1547,38, Private
1548,41, Private
1549,27, Private
1550,23, Private
1551,17, Private
1552,56, Private
1553,24, Private
1554,62, Private
1555,44, Private
1556,23, Private
1557,41, Self-emp-not-inc
1558,25, Private
1559,21, Private
1560,18, Private
1561,45, Private
1562,75, ?
1563,51, Private
1564,42, Federal-gov
1565,47, Private
1566,29, Private
1567,33, Private
1568,43, Local-gov
1569,20, ?
1570,19, ?
1571,44, Private
1572,24, Private
1573,19, Private
1574,49, ?
1575,52, Private
1576,38, Self-emp-not-inc
1577,24, State-gov
1578,32, Local-gov
1579,72, ?
1580,26, Private
1581,31, Private
1582,29, Private
1583,39, Private
1584,48, Self-emp-not-inc
1585,40, Private
1586,51, Private
1587,28, Self-emp-not-inc
1588,22, Private
1589,23, Private
1590,65, Private
1591,26, Local-gov
1592,20, ?
1593,55, Private
1594,38, Self-emp-not-inc
1595,33, Private
1596,33, Local-gov
1597,37, Private
1598,19, Private
1599,24, Private
1600,30, Private
1601,57, State-gov
1602,22, State-gov
1603,57, Private
1604,46, State-gov
1605,67, Private
1606,35, ?
1607,47, Private
1608,39, Private
1609,50, Private
1610,58, Self-emp-not-inc
1611,36, Private
1612,45, Private
1613,54, Private
1614,26, Private
1615,60, Private
1616,46, Private
1617,26, Private
